file,record_group,sample_type,concentration_molar,concentration_label,replicate,accumulation,instrument,acquisition,analyte,matrix,provenance_status,source_master_path,source_master_column_index,source_date,source_setting,source_scan_id,source_reuse_count
data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100nM_rep2_acc1.csv,calibration_curve_historical_replay,sample,1e-07,100nM,2,1,portable_raman,750_5_5_H,4atp,dry_4atp_calibration,publication_snapshot_only_mixed_acquisition_and_axis,Test 4-ATP/24-09-24/4 ATP/750_5_5_H/AAB_4 ATP_10^-7M_750_5_5_H_S2.csv,1,24-09-24,750_5_5_H,Test 4-ATP/24-09-24/4 ATP/750_5_5_H/AAB_4 ATP_10^-7M_750_5_5_H_S2.csv#1,1
data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100nM_rep2_acc2.csv,calibration_curve_historical_replay,sample,1e-07,100nM,2,2,portable_raman,750_5_5_H,4atp,dry_4atp_calibration,publication_snapshot_only_mixed_acquisition_and_axis,Test 4-ATP/24-09-24/4 ATP/750_5_5_H/AAB_4 ATP_10^-7M_750_5_5_H_S2.csv,2,24-09-24,750_5_5_H,Test 4-ATP/24-09-24/4 ATP/750_5_5_H/AAB_4 ATP_10^-7M_750_5_5_H_S2.csv#2,1
data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100nM_rep2_acc3.csv,calibration_curve_historical_replay,sample,1e-07,100nM,2,3,portable_raman,750_5_5_H,4atp,dry_4atp_calibration,publication_snapshot_only_mixed_acquisition_and_axis,Test 4-ATP/24-09-24/4 ATP/750_5_5_H/AAB_4 ATP_10^-7M_750_5_5_H_S2.csv,3,24-09-24,750_5_5_H,Test 4-ATP/24-09-24/4 ATP/750_5_5_H/AAB_4 ATP_10^-7M_750_5_5_H_S2.csv#3,1
data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100nM_rep2_acc4.csv,calibration_curve_historical_replay,sample,1e-07,100nM,2,4,portable_raman,750_5_5_H,4atp,dry_4atp_calibration,publication_snapshot_only_mixed_acquisition_and_axis,Test 4-ATP/24-09-24/4 ATP/750_5_5_H/AAB_4 ATP_10^-7M_750_5_5_H_S2.csv,4,24-09-24,750_5_5_H,Test 4-ATP/24-09-24/4 ATP/750_5_5_H/AAB_4 ATP_10^-7M_750_5_5_H_S2.csv#4,1
data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100nM_rep2_acc5.csv,calibration_curve_historical_replay,sample,1e-07,100nM,2,5,portable_raman,750_5_5_H,4atp,dry_4atp_calibration,publication_snapshot_only_mixed_acquisition_and_axis,Test 4-ATP/24-09-24/4 ATP/750_5_5_H/AAB_4 ATP_10^-7M_750_5_5_H_S2.csv,5,24-09-24,750_5_5_H,Test 4-ATP/24-09-24/4 ATP/750_5_5_H/AAB_4 ATP_10^-7M_750_5_5_H_S2.csv#5,1
data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100nM_rep3_acc1.csv,calibration_curve_historical_replay,sample,1e-07,100nM,3,1,portable_raman,750_5_5_L,4atp,dry_4atp_calibration,source_intensity_exact_axis_within_1e-5_context_consistent,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-7M_750_5_5_L_S1.csv,1,03-07-24,750_5_5_L,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-7M_750_5_5_L_S1.csv#1,1
data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100nM_rep3_acc2.csv,calibration_curve_historical_replay,sample,1e-07,100nM,3,2,portable_raman,750_5_5_L,4atp,dry_4atp_calibration,source_intensity_exact_axis_within_1e-5_context_consistent,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-7M_750_5_5_L_S1.csv,2,03-07-24,750_5_5_L,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-7M_750_5_5_L_S1.csv#2,1
data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100nM_rep3_acc3.csv,calibration_curve_historical_replay,sample,1e-07,100nM,3,3,portable_raman,750_5_5_L,4atp,dry_4atp_calibration,source_intensity_exact_axis_within_1e-5_context_consistent,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-7M_750_5_5_L_S1.csv,3,03-07-24,750_5_5_L,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-7M_750_5_5_L_S1.csv#3,1
data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100nM_rep3_acc4.csv,calibration_curve_historical_replay,sample,1e-07,100nM,3,4,portable_raman,750_5_5_L,4atp,dry_4atp_calibration,source_intensity_exact_axis_within_1e-5_context_consistent,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-7M_750_5_5_L_S1.csv,4,03-07-24,750_5_5_L,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-7M_750_5_5_L_S1.csv#4,1
data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100nM_rep3_acc5.csv,calibration_curve_historical_replay,sample,1e-07,100nM,3,5,portable_raman,750_5_5_L,4atp,dry_4atp_calibration,source_intensity_exact_axis_within_1e-5_context_consistent,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-7M_750_5_5_L_S1.csv,5,03-07-24,750_5_5_L,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-7M_750_5_5_L_S1.csv#5,1
data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100pM_rep1_acc1.csv,calibration_curve_historical_replay,sample,1e-10,100pM,1,1,portable_raman,750_5_5_L,4atp,dry_4atp_calibration,source_intensity_exact_axis_within_1e-5_context_consistent,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-10M_750_5_5_L_S3.csv,1,03-07-24,750_5_5_L,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-10M_750_5_5_L_S3.csv#1,1
data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100pM_rep1_acc2.csv,calibration_curve_historical_replay,sample,1e-10,100pM,1,2,portable_raman,750_5_5_L,4atp,dry_4atp_calibration,source_intensity_exact_axis_within_1e-5_context_consistent,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-10M_750_5_5_L_S3.csv,2,03-07-24,750_5_5_L,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-10M_750_5_5_L_S3.csv#2,1
data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100pM_rep1_acc3.csv,calibration_curve_historical_replay,sample,1e-10,100pM,1,3,portable_raman,750_5_5_L,4atp,dry_4atp_calibration,source_intensity_exact_axis_within_1e-5_context_consistent,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-10M_750_5_5_L_S3.csv,3,03-07-24,750_5_5_L,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-10M_750_5_5_L_S3.csv#3,1
data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100pM_rep1_acc4.csv,calibration_curve_historical_replay,sample,1e-10,100pM,1,4,portable_raman,750_5_5_L,4atp,dry_4atp_calibration,source_intensity_exact_axis_within_1e-5_context_consistent,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-10M_750_5_5_L_S3.csv,4,03-07-24,750_5_5_L,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-10M_750_5_5_L_S3.csv#4,1
data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100pM_rep1_acc5.csv,calibration_curve_historical_replay,sample,1e-10,100pM,1,5,portable_raman,750_5_5_L,4atp,dry_4atp_calibration,source_intensity_exact_axis_within_1e-5_context_consistent,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-10M_750_5_5_L_S3.csv,5,03-07-24,750_5_5_L,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-10M_750_5_5_L_S3.csv#5,1
data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100pM_rep2_acc1.csv,calibration_curve_historical_replay,sample,1e-10,100pM,2,1,portable_raman,750_5_5_L,4atp,dry_4atp_calibration,source_intensity_exact_axis_within_1e-5_context_consistent,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-10M_750_5_5_L_S1.csv,1,03-07-24,750_5_5_L,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-10M_750_5_5_L_S1.csv#1,1
data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100pM_rep2_acc2.csv,calibration_curve_historical_replay,sample,1e-10,100pM,2,2,portable_raman,750_5_5_L,4atp,dry_4atp_calibration,source_intensity_exact_axis_within_1e-5_context_consistent,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-10M_750_5_5_L_S1.csv,2,03-07-24,750_5_5_L,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-10M_750_5_5_L_S1.csv#2,1
data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100pM_rep2_acc3.csv,calibration_curve_historical_replay,sample,1e-10,100pM,2,3,portable_raman,750_5_5_L,4atp,dry_4atp_calibration,source_intensity_exact_axis_within_1e-5_context_consistent,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-10M_750_5_5_L_S1.csv,3,03-07-24,750_5_5_L,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-10M_750_5_5_L_S1.csv#3,1
data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100pM_rep2_acc4.csv,calibration_curve_historical_replay,sample,1e-10,100pM,2,4,portable_raman,750_5_5_L,4atp,dry_4atp_calibration,source_intensity_exact_axis_within_1e-5_context_consistent,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-10M_750_5_5_L_S1.csv,4,03-07-24,750_5_5_L,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-10M_750_5_5_L_S1.csv#4,1
data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100pM_rep2_acc5.csv,calibration_curve_historical_replay,sample,1e-10,100pM,2,5,portable_raman,750_5_5_L,4atp,dry_4atp_calibration,source_intensity_exact_axis_within_1e-5_context_consistent,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-10M_750_5_5_L_S1.csv,5,03-07-24,750_5_5_L,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-10M_750_5_5_L_S1.csv#5,1
data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100pM_rep3_acc1.csv,calibration_curve_historical_replay,sample,1e-10,100pM,3,1,portable_raman,750_5_5_L,4atp,dry_4atp_calibration,source_intensity_exact_axis_within_1e-5_context_consistent,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-10M_750_5_5_L_S2.csv,1,03-07-24,750_5_5_L,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-10M_750_5_5_L_S2.csv#1,1
data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100pM_rep3_acc2.csv,calibration_curve_historical_replay,sample,1e-10,100pM,3,2,portable_raman,750_5_5_L,4atp,dry_4atp_calibration,source_intensity_exact_axis_within_1e-5_context_consistent,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-10M_750_5_5_L_S2.csv,2,03-07-24,750_5_5_L,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-10M_750_5_5_L_S2.csv#2,1
data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100pM_rep3_acc3.csv,calibration_curve_historical_replay,sample,1e-10,100pM,3,3,portable_raman,750_5_5_L,4atp,dry_4atp_calibration,source_intensity_exact_axis_within_1e-5_context_consistent,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-10M_750_5_5_L_S2.csv,3,03-07-24,750_5_5_L,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-10M_750_5_5_L_S2.csv#3,1
data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100pM_rep3_acc4.csv,calibration_curve_historical_replay,sample,1e-10,100pM,3,4,portable_raman,750_5_5_L,4atp,dry_4atp_calibration,source_intensity_exact_axis_within_1e-5_context_consistent,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-10M_750_5_5_L_S2.csv,4,03-07-24,750_5_5_L,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-10M_750_5_5_L_S2.csv#4,1
data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100pM_rep3_acc5.csv,calibration_curve_historical_replay,sample,1e-10,100pM,3,5,portable_raman,750_5_5_L,4atp,dry_4atp_calibration,source_intensity_exact_axis_within_1e-5_context_consistent,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-10M_750_5_5_L_S2.csv,5,03-07-24,750_5_5_L,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-10M_750_5_5_L_S2.csv#5,1
data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100uM_rep1_acc1.csv,calibration_curve_historical_replay,sample,0.0001,100uM,1,1,portable_raman,750_5_5_L,4atp,dry_4atp_calibration,source_intensity_exact_axis_within_1e-5_context_consistent,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-4M_750_5_5_L_S2.csv,1,03-07-24,750_5_5_L,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-4M_750_5_5_L_S2.csv#1,1
data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100uM_rep1_acc2.csv,calibration_curve_historical_replay,sample,0.0001,100uM,1,2,portable_raman,750_5_5_M,4atp,dry_4atp_calibration,publication_snapshot_only_mixed_acquisition,Test 4-ATP/03-07-24/4 ATP/750_5_5_M/AAB_4 ATP_10^-4M_750_5_5_M_S2.csv,2,03-07-24,750_5_5_M,Test 4-ATP/03-07-24/4 ATP/750_5_5_M/AAB_4 ATP_10^-4M_750_5_5_M_S2.csv#2,1
data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100uM_rep1_acc3.csv,calibration_curve_historical_replay,sample,0.0001,100uM,1,3,portable_raman,750_5_5_M,4atp,dry_4atp_calibration,publication_snapshot_only_mixed_acquisition,Test 4-ATP/03-07-24/4 ATP/750_5_5_M/AAB_4 ATP_10^-4M_750_5_5_M_S2.csv,3,03-07-24,750_5_5_M,Test 4-ATP/03-07-24/4 ATP/750_5_5_M/AAB_4 ATP_10^-4M_750_5_5_M_S2.csv#3,1
data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100uM_rep1_acc4.csv,calibration_curve_historical_replay,sample,0.0001,100uM,1,4,portable_raman,750_5_5_M,4atp,dry_4atp_calibration,publication_snapshot_only_mixed_acquisition,Test 4-ATP/03-07-24/4 ATP/750_5_5_M/AAB_4 ATP_10^-4M_750_5_5_M_S2.csv,4,03-07-24,750_5_5_M,Test 4-ATP/03-07-24/4 ATP/750_5_5_M/AAB_4 ATP_10^-4M_750_5_5_M_S2.csv#4,1
data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100uM_rep1_acc5.csv,calibration_curve_historical_replay,sample,0.0001,100uM,1,5,portable_raman,750_5_5_M,4atp,dry_4atp_calibration,publication_snapshot_only_mixed_acquisition,Test 4-ATP/03-07-24/4 ATP/750_5_5_M/AAB_4 ATP_10^-4M_750_5_5_M_S2.csv,5,03-07-24,750_5_5_M,Test 4-ATP/03-07-24/4 ATP/750_5_5_M/AAB_4 ATP_10^-4M_750_5_5_M_S2.csv#5,1
data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100uM_rep2_acc1.csv,calibration_curve_historical_replay,sample,0.0001,100uM,2,1,portable_raman,750_5_5_M,4atp,dry_4atp_calibration,publication_snapshot_only_mixed_acquisition_and_axis,Test 4-ATP/24-09-24/4 ATP/750_5_5_M/AAB_4 ATP_10^-4M_750_5_5_M_S2.csv,1,24-09-24,750_5_5_M,Test 4-ATP/24-09-24/4 ATP/750_5_5_M/AAB_4 ATP_10^-4M_750_5_5_M_S2.csv#1,1
